Gün / Saat,Format,Konu,Görsel & Sahne Kurgusu,TTS Tonu & Hız,Senaryo (Script - Ort. 25-30 Sn)
Gün 11 - 12:30,5 to 1 Ranking,Rollercoaster Fails,"Tam Ekran (Dummy Yok): Hız treninde bayılanlar, şapkası uçanlar. Rüzgar ve çığlık SFX.","Excited, Fast (1.15x)","""Ranking the funniest rollercoaster fails from 5 to 1! Number 5: Screaming before the ride even starts. Number 4: Losing your hat to the wind. Number 3: The ultimate bug in the mouth disaster! Number 2: Passing out and waking up three times. And Number 1: Throwing up your cotton candy on the guy behind you! Hit subscribe!"""
Gün 11 - 17:30,Tier List,Rolex vs Casio,"Bölünmüş Ekran (Dummy Var): Üstte Dummy. Altta S-A-B-C-D panosu. Rolex (B), Casio (S).","Sarcastic, Loud (1.15x)","""Who makes the best watch commercials? Let's rank them! Rolex ads are pure luxury, playing golf on a yacht. Classy, but a bit boring. B-Tier. But Casio? Getting name-dropped in Shakira's revenge song against Pique? The most savage, accidental marketing genius ever! Instant S-Tier! Rolex or Casio? Drop your favorite in the comments and subscribe!"""
Gün 11 - 22:30,5 to 1 Ranking,DIY & Repair Fails,"Tam Ekran (Dummy Yok): Boya yaparken köşede sıkışanlar, patlayan borular. Su sesi SFX.","Shocked, Fast (1.15x)","""Ranking the absolute worst DIY fails from 5 to 1! Number 5: Painting the floor and trapping yourself in the corner. Number 4: Nailing the door shut by accident. Number 3: The bookshelf collapsing instantly. Number 2: Hitting a water pipe and flooding the kitchen! And Number 1: The ceiling fan flying off the roof! Subscribe for more disasters!"""
Gün 12 - 12:30,5 to 1 Ranking,Drone Fails,"Tam Ekran (Dummy Yok): Ağaca çarpan dronelar, denize düşen kameralar. Pervane sesi.","Tense, Fast (1.15x)","""Ranking the most expensive drone fails from 5 to 1! Number 5: Crashing into a tree on day one. Number 4: A bird attacking the drone mid-air! Number 3: Losing connection over the ocean. Number 2: Flying straight into the wedding cake! And Number 1: Catching it with your face instead of your hands! Subscribe to save your drone!"""
Gün 12 - 17:30,Tier List,Doritos vs Snickers,"Bölünmüş Ekran (Dummy Var): Üstte Dummy atıştırmalık arar. Altta Doritos (A), Snickers (S).","Energetic, Fast (1.15x)","""The ultimate snack commercial battle! Doritos ultrasound baby ad? Hilarious, bizarre, and unforgettable. Easy A-Tier! But Snickers 'You're Not You When You're Hungry' with Betty White playing football? That is absolute Super Bowl royalty! S-Tier legend without a doubt. What is your favorite snack? Let me know down in the comments and smash subscribe!"""
Gün 12 - 22:30,5 to 1 Ranking,Unboxing Fails,"Tam Ekran (Dummy Yok): Yeni TV'sini kıranlar, telefonu düşürenler. Cam kırılma SFX.","Disbelieving, Fast (1.15x)","""Ranking the most tragic unboxing fails from 5 to 1! Number 5: Using a knife and slicing the actual product. Number 4: Dropping the new phone immediately onto concrete. Number 3: The cat claiming the box before you even open it. Number 2: Unboxing a completely empty package. And Number 1: The brand new TV falling flat on its screen! Subscribe!"""
Gün 13 - 12:30,5 to 1 Ranking,Ice Skating Fails,"Tam Ekran (Dummy Yok): Buzda kayanlar, toplu düşüşler.","Laughing, Fast (1.15x)","""Ranking the most embarrassing ice skating fails from 5 to 1! Number 5: The wobbly Bambi legs. Number 4: Crashing straight into the barrier wall. Number 3: Taking out an entire group of kids like bowling pins. Number 2: The majestic split that rips your pants. And Number 1: Falling gracefully into a frozen puddle! Tag a bad skater and subscribe!"""
Gün 13 - 17:30,Tier List,Emirates vs Qatar,"Bölünmüş Ekran (Dummy Var): Üstte Dummy şaşkın bakar. Altta Qatar (A), Emirates (S).","Impressed, Loud (1.15x)","""Who rules the skies of advertising? Qatar Airways makes beautiful, cinematic commercials. Very solid, easily an A-Tier! But Emirates? They literally put a real flight attendant on the very top of the Burj Khalifa! No green screen, just pure madness and bravery. That is a legendary S-Tier stunt! Which airline is better? Comment below and subscribe!"""
Gün 13 - 22:30,5 to 1 Ranking,Make-up & Beauty Fails,"Tam Ekran (Dummy Yok): Dökülen pudralar, yanlış kesilen perçemler.","Amused, Fast (1.15x)","""Ranking the funniest makeup fails from 5 to 1! Number 5: The classic lipstick on the teeth. Number 4: Sneezing while applying mascara. Number 3: Gluing your eyes shut with fake lashes. Number 2: Using a sharpie instead of eyeliner. And Number 1: Shaving off half an eyebrow by accident! Whoops! Subscribe for more beauty disasters!"""
Gün 14 - 12:30,5 to 1 Ranking,Graduation Fails,"Tam Ekran (Dummy Yok): Sahnede düşenler, kepi yüzüne çarpanlar.","Shocked, Fast (1.15x)","""Ranking the most awkward graduation fails from 5 to 1! Number 5: The graduation cap flying into someone's face. Number 4: Tripping on the stairs while getting the diploma. Number 3: The microphone breaking during the big speech. Number 2: The principal saying the completely wrong name. And Number 1: Falling off the stage entirely! Subscribe and stay in school!"""
